English,Marathi
the,द
be,असणे
and,आणि
of,च्या
in,मध्ये
to,करण्यासाठी
have,आहे
to,करण्यासाठी
it,ते
that,ते
for,च्या साठी
you,आपण
he,तो
with,सह
on,वर
do,करा
say,म्हणा
this,हे
they,ते
at,येथे
but,परंतु
we,आम्ही
his,त्याचा
from,पासून
that,ते
not,नाही
n't,नाही
by,द्वारे
she,ती
or,किंवा
as,म्हणून
what,काय
go,जा
their,त्यांचे
can,करू शकता
get,मिळवा
if,तर
would,होईल
her,तिला
all,सर्व
my,माझे
make,बनवणे
about,बद्दल
know,माहित आहे
will,इच्छा
as,म्हणून
up,वर
one,एक
time,वेळ
there,तेथे
year,वर्ष
so,त्यामुळे
think,विचार
when,कधी
which,जे
them,त्यांना
some,काही
me,मी
people,लोक
take,घेणे
out,बाहेर
into,मध्ये
just,फक्त
see,पहा
him,त्याला
your,आपले
come,येणे
could,शकते
now,आता
than,पेक्षा
like,जसे
other,इतर
how,कसे
then,नंतर
its,त्याचे
our,आमचे
two,दोन
more,अधिक
these,या
want,इच्छित
way,मार्ग
look,दिसत
first,पहिला
also,तसेच
new,नवीन
because,कारण
day,दिवस
more,अधिक
use,वापर
no,नाही
man,माणूस
find,शोधणे
here,येथे
thing,गोष्ट
give,देणे
many,अनेक
well,चांगले
only,फक्त
those,त्या
tell,सांगा
one,एक
very,खूप
her,तिला
even,अगदी
back,परत
any,कोणतेही
good,चांगले
woman,स्त्री
through,माध्यमातून
us,आम्हाला
life,जीवन
child,मूल
there,तेथे
work,काम
down,खाली
may,मे
after,नंतर
should,पाहिजे
call,कॉल
world,जग
over,प्रती
school,शाळा
still,अजूनही
try,प्रयत्न
in,मध्ये
as,म्हणून
last,शेवटचे
ask,विचारा
need,गरज
too,खूप
feel,वाटते
three,तीन
when,कधी
state,राज्य
never,कधीही
become,बनणे
between,यांच्यातील
high,उच्च
really,खरोखर
something,काहीतरी
most,सर्वाधिक
another,दुसरा
much,खूप
family,कुटुंब
own,स्वतःचे
out,बाहेर
leave,सोडा
put,टाकणे
old,जुन्या
while,असताना
mean,अर्थ
on,वर
keep,ठेवा
student,विद्यार्थी
why,का
let,द्या
great,महान
same,त्याच
big,मोठा
group,गट
begin,सुरू
seem,दिसते
country,देश
help,मदत
talk,बोलणे
where,कुठे
turn,वळण
problem,समस्या
every,प्रत्येक
start,प्रारंभ
hand,हात
might,कदाचित
American,अमेरिकन
show,दाखवा
part,भाग
about,बद्दल
against,विरुद्ध
place,जागा
over,प्रती
such,अशा
again,पुन्हा
few,काही
case,केस
most,सर्वाधिक
week,आठवडा
company,कंपनी
where,कुठे
system,प्रणाली
each,प्रत्येक
right,बरोबर
program,कार्यक्रम
hear,ऐकणे
so,त्यामुळे
question,प्रश्न
during,दरम्यान
work,काम
play,खेळणे
government,सरकार
run,धावणे
small,लहान
number,संख्या
off,बंद
always,नेहमी
move,हलवा
like,जसे
night,रात्री
live,राहतात
Mr,श्री
point,बिंदू
believe,विश्वास
hold,धरा
today,आज
bring,आणणे
happen,घडणे
next,पुढे
without,शिवाय
before,आधी
large,मोठे
all,सर्व
million,दशलक्ष
must,हे केलेच पाहिजे
home,मुख्यपृष्ठ
under,अंतर्गत
water,पाणी
room,खोली
write,लिहा
mother,आई
area,क्षेत्र
national,राष्ट्रीय
money,पैसे
story,कथा
young,तरुण
fact,वस्तुस्थिती
month,महिना
different,भिन्न
lot,भरपूर
right,बरोबर
study,अभ्यास
book,पुस्तक
eye,डोळा
job,नोकरी
word,शब्द
though,तरी
business,व्यवसाय
issue,समस्या
side,बाजू
kind,दयाळू
four,चार
head,डोके
far,दूर
black,काळा
long,लांब
both,दोन्ही
little,थोडे
house,घर
yes,होय
after,नंतर
since,पासून
long,लांब
provide,प्रदान
service,सेवा
around,सुमारे
friend,मित्र
important,महत्वाचे
father,वडील
sit,बसणे
away,लांब
until,पर्यंत
power,शक्ती
hour,तास
game,खेळ
often,अनेकदा
yet,अद्याप
line,ओळ
political,राजकीय
end,शेवट
among,मध्ये
ever,कधीही
stand,उभे
bad,वाईट
lose,गमावणे
however,तथापि
member,सदस्य
pay,पैसे द्या
law,कायदा
meet,भेटणे
car,गाडी
city,शहर
almost,जवळजवळ
include,समाविष्ट करा
continue,सुरू
set,सेट
later,नंतर
community,समुदाय
much,खूप
name,नाव
five,पाच
once,एकदा
white,पांढरा
least,किमान
president,अध्यक्ष
learn,शिका
real,वास्तविक
change,बदल
team,संघ
minute,मिनिट
best,सर्वोत्तम
several,अनेक
idea,कल्पना
kid,लहान मूल
body,शरीर
information,माहिती
nothing,काहीही नाही
ago,पूर्वी
right,बरोबर
lead,आघाडी
social,सामाजिक
understand,समजून घेणे
whether,की नाही
back,परत
watch,घड्याळ
together,एकत्र
follow,अनुसरण करा
around,सुमारे
parent,पालक
only,फक्त
stop,थांबा
face,चेहरा
anything,काहीही
create,तयार करा
public,सार्वजनिक
already,आधीच
speak,बोलणे
others,इतर
read,वाचा
level,पातळी
allow,परवानगी द्या
add,जोडा
office,कार्यालय
spend,खर्च
door,दरवाजा
health,आरोग्य
person,व्यक्ती
art,कला
sure,खात्रीने
such,अशा
war,युद्ध
history,इतिहास
party,पार्टी
within,आत
grow,वाढणे
result,परिणाम
open,उघडा
change,बदल
morning,सकाळी
walk,चालणे
reason,कारण
low,कमी
win,जिंकणे
research,संशोधन
girl,मुलगी
guy,माणूस
early,लवकर
food,अन्न
before,आधी
moment,क्षण
himself,स्वतः
air,हवा
teacher,शिक्षक
force,सक्ती
offer,ऑफर
enough,पुरेसा
both,दोन्ही
education,शिक्षण
across,ओलांडून
although,जरी
remember,लक्षात ठेवा
foot,पाऊल
second,दुसरा
boy,मुलगा
maybe,कदाचित
toward,दिशेने
able,सक्षम
age,वय
off,बंद
policy,धोरण
everything,सर्व काही
love,प्रेम
process,प्रक्रिया
music,संगीत
including,समावेश
consider,विचार करा
appear,दिसणे
actually,प्रत्यक्षात
buy,खरेदी
probably,कदाचित
human,मानव
wait,प्रतीक्षा करा
serve,सर्व्ह करणे
market,बाजार
die,मरणे
send,पाठवा
expect,अपेक्षा
home,मुख्यपृष्ठ
sense,अर्थ
build,बांधणे
stay,राहा
fall,पडणे
oh,अरे
nation,राष्ट्र
plan,योजना
cut,कट
college,कॉलेज
interest,व्याज
death,मृत्यू
course,अभ्यासक्रम
someone,कोणीतरी
experience,अनुभव
behind,मागे
reach,पोहोचणे
local,स्थानिक
kill,मारणे
six,सहा
remain,राहणे
effect,परिणाम
use,वापर
yeah,होय
suggest,सूचित
class,वर्ग
control,नियंत्रण
raise,वाढवणे
care,काळजी
perhaps,कदाचित
little,थोडे
late,उशीरा
hard,कठीण
field,फील्ड
else,इतर
pass,पास
former,माजी
sell,विक्री
major,प्रमुख
sometimes,कधी कधी
require,आवश्यक
along,बाजूने
development,विकास
themselves,स्वत:
report,अहवाल
role,भूमिका
better,चांगले
economic,आर्थिक
effort,प्रयत्न
up,वर
decide,ठरवा
rate,दर
strong,मजबूत
possible,शक्य
heart,हृदय
drug,औषध
show,दाखवा
leader,नेता
light,प्रकाश
voice,आवाज
wife,पत्नी
whole,संपूर्ण
police,पोलीस
mind,मन
finally,शेवटी
pull,खेचणे
return,परत
free,फुकट
military,लष्करी
price,किंमत
report,अहवाल
less,कमी
according,त्यानुसार
decision,निर्णय
explain,स्पष्ट करणे
son,मुलगा
hope,आशा
even,अगदी
develop,विकसित करणे
view,दृश्य
relationship,नाते
carry,वाहून नेणे
town,शहर
road,रस्ता
drive,ड्राइव्ह
arm,हात
TRUE,खरे
federal,फेडरल
break,खंडित
better,चांगले
difference,फरक
thank,धन्यवाद
receive,प्राप्त
value,मूल्य
international,आंतरराष्ट्रीय
building,इमारत
action,क्रिया
full,पूर्ण
model,मॉडेल
join,सामील होणे
season,हंगाम
society,समाज
because,कारण
tax,कर
director,दिग्दर्शक
early,लवकर
